"Model","Subset","Metric","Variance","SD","Mean","Median"
"SVM",10,"Accuracy",0.454862557267805,6.74434991135399,68.0612244897959,69.3877551020408
"SVM",10,"F1",0.146883635555029,3.83254009183242,73.9616374763642,73.9837398373984
"SVM",10,"Precision",0.362765841445901,6.02300457783241,64.6260623411934,66.7910447761194
"SVM",10,"Recall",0.728100789584417,8.53288221871377,87.9601990049751,90.547263681592
"SVM",10,"AUC ROC",0.489309804485925,6.99506829477687,67.5403089265713,69.3287489255294
"SVM",10,"Coverage",0,0,100,100
"MAP",50,"Accuracy",0.0309796035621947,1.76010237094877,92.4745762711864,92.2033898305085
"MAP",50,"F1",0.0465939226970268,2.1585625470907,91.7050577595049,91.3857677902622
"MAP",50,"Precision",0.00487143638714615,0.697956759917557,98.5985770559139,99.1304347826087
"MAP",50,"Recall",0.174768518518519,4.18053248424789,85.8333333333333,84.7222222222222
"MAP",50,"AUC ROC",0.0329713522758101,1.81580153859969,92.3206401766004,92.0299852832965
"MAP",50,"Coverage",0,0,75.2551020408163,75.2551020408163
"MLE",50,"Accuracy",0.0553690035385589,2.35306191033213,88.1375358166189,87.3925501432665
"MLE",50,"F1",0.0700261811543323,2.64624604211952,88.2220339545988,87.5
"MLE",50,"Precision",0.00602953188416143,0.776500604259999,96.5722123339155,96.25
"MLE",50,"Recall",0.232638888888889,4.82326537616259,81.3541666666667,80.2083333333333
"MLE",50,"AUC ROC",0.0433801334627052,2.08278979886846,88.8936438428875,88.193338641189
"MLE",50,"Coverage",1.23259516440783e-30,1.11022302462516e-14,89.0306122448979,89.030612244898
"MV",50,"Accuracy",0,0,92.2033898305085,92.2033898305085
"MV",50,"F1",1.23259516440783e-30,1.11022302462516e-14,91.3857677902622,91.3857677902622
"MV",50,"Precision",0,0,99.1869918699187,99.1869918699187
"MV",50,"Recall",1.23259516440783e-30,1.11022302462516e-14,84.7222222222222,84.7222222222222
"MV",50,"AUC ROC",0,0,92.0299852832965,92.0299852832965
"MV",50,"Coverage",0,0,75.2551020408163,75.2551020408163
"SVM",50,"Accuracy",0.0503956684714701,2.24489795918367,84.5408163265306,85.7142857142857
