"Model","Subset","Metric","Variance","SD","Mean","Median"
"SVM",10,"AUC ROC",6.31180103779859,25.1232980275253,20.5130718954248,0
"SVM",10,"Coverage",24,48.9897948556636,40,0
"MAP",50,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MAP",50,"F1",0,0,48.9208633093525,48.9208633093525
"MAP",50,"Precision",0,0,34.3434343434343,34.3434343434343
"MAP",50,"Recall",0,0,85,85
"MAP",50,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MAP",50,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",50,"Accuracy",0.00194789383978574,0.441349503204177,65.2252252252252,64.8648648648649
"MLE",50,"F1",0.016224988358597,1.27377346332058,47.5190258751903,47.2222222222222
"MLE",50,"Precision",0.00297430282205586,0.545371691789724,34.2297472990542,34.3434343434343
"MLE",50,"Recall",0.197530864197531,4.44444444444445,77.7777777777778,75.5555555555556
"MLE",50,"AUC ROC",0.0244856558176486,1.56478930906523,69.9058380414313,69.4161958568738
"MLE",50,"Coverage",0,0,20.1634877384196,20.1634877384196
"MV",50,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",50,"F1",0,0,48.9208633093525,48.9208633093525
"MV",50,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",50,"Recall",0,0,85,85
"MV",50,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",50,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",50,"Accuracy",0.000250783492176635,0.158361451173142,92.4069028156222,92.4613987284287
"SVM",50,"F1",0.0211583814200053,1.45459208783787,2.33182629096508,2.35294117647059
"SVM",50,"Precision",2.77777777777778,16.6666666666667,25,25
"SVM",50,"Recall",0.0060966316110349,0.780809298807007,1.23456790123457,1.23456790123457
"SVM",50,"AUC ROC",0.00169901942325655,0.412191633012675,50.440813362382,50.4702251270879
"SVM",50,"Coverage",0,0,100,100
"MAP",100,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MAP",100,"F1",0,0,48.9208633093525,48.9208633093525
"MAP",100,"Precision",0,0,34.3434343434343,34.3434343434343
"MAP",100,"Recall",0,0,85,85
"MAP",100,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MAP",100,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",100,"Accuracy",0.00762925087249419,0.873455830165109,64.5045045045045,64.8648648648649
"MLE",100,"F1",0.0128773795606337,1.13478542291632,47.6972229401798,47.2222222222222
"MLE",100,"Precision",0.000863140098612692,0.29379246052489,34.0182439296561,34.2105263157895
"MLE",100,"Recall",0.296296296296297,5.44331053951818,80,75.5555555555556
"MLE",100,"AUC ROC",0.0235990083734985,1.5361968745411,70.2824858757062,69.4161958568738
"MLE",100,"Coverage",0,0,20.1634877384196,20.1634877384196
"MV",100,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",100,"F1",0,0,48.9208633093525,48.9208633093525
"MV",100,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",100,"Recall",0,0,85,85
"MV",100,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",100,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",100,"Accuracy",0.0005807617713564,0.24098999384962,92.2252497729337,92.188919164396
"SVM",100,"F1",0.0125933607176539,1.12220143992306,1.37420718816068,2.27272727272727
"SVM",100,"Precision",0.67265306122449,8.2015429110899,9.71428571428571,14.2857142857143
"SVM",100,"Recall",0.00365797896662094,0.604812282168686,0.740740740740741,1.23456790123457
"SVM",100,"AUC ROC",0.00103332368209126,0.321453524182153,50.1154684095861,50.3231663035585
"SVM",100,"Coverage",0,0,100,100
"MAP",500,"Accuracy",0.000373404280146565,0.193236714975846,65.7971014492754,65.7004830917874
"MAP",500,"F1",0.00215173254051224,0.463867711800707,48.6889294534522,48.9208633093525
"MAP",500,"Precision",0.000144847148153183,0.120352460777993,34.2832581130453,34.3434343434343
"MAP",500,"Recall",0.0399999999999999,2,84,85
"MAP",500,"AUC ROC",0.00410520276811647,0.640718562874252,72.7185628742515,73.0389221556886
"MAP",500,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",500,"Accuracy",0.00292184075967863,0.540540540540544,64.5945945945946,64.8648648648649
"MLE",500,"F1",0.00985065228438657,0.992504523132594,47.0715947273197,46.5753424657534
"MLE",500,"Precision",0.000479014468463657,0.218863991662324,33.7727983324648,33.6633663366337
"MLE",500,"Recall",0.197530864197531,4.44444444444445,77.7777777777778,75.5555555555556
"MLE",500,"AUC ROC",0.0173782899053415,1.31826741996234,69.5103578154426,68.8512241054614
"MLE",500,"Coverage",0,0,20.1634877384196,20.1634877384196
"MV",500,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",500,"F1",0,0,48.9208633093525,48.9208633093525
"MV",500,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",500,"Recall",0,0,85,85
"MV",500,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",500,"Coverage",0,0,18.8010899182561,18.8010899182561
"SVM",500,"Accuracy",0.00176208401081997,0.419771844079611,91.1716621253406,91.2806539509537
"SVM",500,"F1",0.255033750324368,5.05008663613178,12.7499843810523,12.6126126126126
"SVM",500,"Precision",0.548735030601385,7.40766515577874,23.1079028498383,23.3333333333333
"SVM",500,"Recall",0.148757811309252,3.85691342020082,8.88888888888889,8.64197530864197
"SVM",500,"AUC ROC",0.0363985177168853,1.90783955606559,53.297385620915,53.1935366739288
"SVM",500,"Coverage",0,0,100,100
"MAP",1000,"Accuracy",0.000373404280146565,0.193236714975846,65.6038647342995,65.7004830917874
"MAP",1000,"F1",0.00191765642034794,0.437910541132311,48.7019080387864,48.9208633093525
"MAP",1000,"Precision",0.000718164866941262,0.267985982271697,34.2094413522985,34.3434343434343
"MAP",1000,"Recall",0.01,1,84.5,85
"MAP",1000,"AUC ROC",0.00250000000000003,0.500000000000003,72.7889221556886,73.0389221556886
"MAP",1000,"Coverage",0,0,18.8010899182561,18.8010899182561
"MLE",1000,"Accuracy",0.00275951627302977,0.525310981517593,65.2252252252252,64.8648648648649
"MLE",1000,"F1",0.000557945883665827,0.236208781307094,46.3846078037465,46.5753424657534
"MLE",1000,"Precision",0.00022715083271636,0.150715239015953,33.7412243178291,33.6633663366337
"MLE",1000,"Recall",0.0316049382716049,1.77777777777778,74.2222222222222,75.5555555555556
"MLE",1000,"AUC ROC",0.00117264444373514,0.342438964449891,68.5800376647834,68.8512241054614
"MLE",1000,"Coverage",0,0,20.1634877384196,20.1634877384196
"MV",1000,"Accuracy",0,0,65.7004830917874,65.7004830917874
"MV",1000,"F1",0,0,48.9208633093525,48.9208633093525
"MV",1000,"Precision",0,0,34.3434343434343,34.3434343434343
"MV",1000,"Recall",0,0,85,85
"MV",1000,"AUC ROC",0,0,73.0389221556886,73.0389221556886
"MV",1000,"Coverage",0,0,18.8010899182561,18.8010899182561
