"Model","Subset","Metric","Variance","SD","Mean","Median"
"MV",10,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",10,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",10,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",10,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",10,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",10,"Accuracy",0.407939508506616,6.38701423598395,65.8695652173913,68.4782608695652
"SVM",10,"F1",0.54137374453083,7.35781043878428,56.5720525201313,58.6614173228346
"SVM",10,"Precision",0.835916949134445,9.14284938700428,58.3396359828455,60.2836879432624
"SVM",10,"Recall",3.80552252609328,19.5077485274269,61.6091954022989,64.367816091954
"SVM",10,"AUC ROC",0.149962132009811,3.8724944416979,65.0353669319187,64.635077566112
"SVM",10,"Coverage",0,0,100,100
"MAP",50,"Accuracy",0.00844423436463596,0.918925152808212,89.1057548149002,89.5652173913044
"MAP",50,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",50,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",50,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",50,"AUC ROC",0.0124342973301387,1.11509180474698,90.038065382893,90.5956112852665
"MAP",50,"Coverage",0.520907372400756,7.21739130434782,96.3913043478261,100
"MLE",50,"Accuracy",0.0362518690088524,1.90399235841041,88.1492330757698,89.5652173913044
"MLE",50,"F1",0.0368883849836232,1.92063492063492,86.3412698412698,87.3015873015873
"MLE",50,"Precision",0.0991872888518663,3.14940135346174,79.3076522644456,80.8823529411765
"MLE",50,"Recall",0,0,94.8275862068966,94.8275862068966
"MLE",50,"AUC ROC",0.0275253071161087,1.6590752579708,89.2688346136622,90.5956112852665
"MLE",50,"Coverage",0.520907372400756,7.21739130434782,96.3913043478261,100
"MV",50,"Accuracy",0,0,86.4788732394366,86.4788732394366
"MV",50,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MV",50,"Precision",0,0,80.8823529411765,80.8823529411765
"MV",50,"Recall",0,0,94.8275862068966,94.8275862068966
"MV",50,"AUC ROC",1.23259516440783e-30,1.11022302462516e-14,86.6403124404649,86.6403124404649
"MV",50,"Coverage",0,0,77.1739130434783,77.1739130434783
"SVM",50,"Accuracy",0.00710775047258983,0.843074757811538,73.3478260869565,73.2608695652174
"SVM",50,"F1",0.262867180782929,5.12705744831214,64.4028185158132,66.4850136239782
"SVM",50,"Precision",0.264717997898348,5.14507529486545,65.9311950770688,63.6363636363636
"SVM",50,"Recall",1.99841458581054,14.1365292268313,65.7471264367816,70.1149425287356
"SVM",50,"AUC ROC",0.0720232291205909,2.68371438719903,71.8595772044048,72.6448838517804
"SVM",50,"Coverage",0,0,100,100
"MAP",100,"Accuracy",0,0,89.5652173913044,89.5652173913044
"MAP",100,"F1",1.23259516440783e-30,1.11022302462516e-14,87.3015873015873,87.3015873015873
"MAP",100,"Precision",0,0,80.8823529411765,80.8823529411765
"MAP",100,"Recall",0,0,94.8275862068966,94.8275862068966
"MAP",100,"AUC ROC",0,0,90.5956112852665,90.5956112852665
"MAP",100,"Coverage",0,0,100,100
"MLE",100,"Accuracy",0.0548960302457468,2.34299018874913,86.695652173913,84.7826086956522
"MLE",100,"F1",0.0553325774754347,2.35228776886321,84.4206349206349,82.5
"MLE",100,"Precision",0.148780933277799,3.85721315560599,76.1582509109839,73.0088495575221
